10740: ACCT,"Accounting for the S.E.C"
14695: SPAN,"Advanced Foreign Lang Study"
14696: SPAN,"Advanced Seminar"
14697: SPAN,"Advanced Spanish Composition"
14698: SPAN,"Advanced Spanish Grammar"
14699: SPAN,"Business Spa&Corresp"
14700: SPAN,"Cervantes"
14701: SPAN,"Cervantes and the Modern Novel"
14702: SPAN,"Cervantes’s Don Quixote"
14703: SPAN,"Colonial Spanish-Amer Lit"
14704: SPAN,"Comparative Grammar"
14705: SPAN,"Contemp Lit Spain & Span Amer"
14706: SPAN,"Contemp Prbms in Hispanic Wrld"
14707: SPAN,"Conversational Spanish"
14708: SPAN,"Elem Contemp Span 1"
14709: SPAN,"Elem Contemp Span 2"
14710: SPAN,"Elem Spa-Intnsv Cour"
14711: SPAN,"Elem Span-Heritage Speakers I"
14712: SPAN,"Elem Span-Heritage Speakers II"
14713: SPAN,"Elementary Spanish I"
14714: SPAN,"Elementary Spanish II"
14715: SPAN,"Elementary Spanish III"
14716: SPAN,"Fantastic RealismHispanicWorld"
14717: SPAN,"Generatns- 1898&1927"
14718: SPAN,"Hispanic Culture"
14719: SPAN,"Hispanic Linguistics"
14720: SPAN,"Hispanic Women Authors"
14721: SPAN,"History ofthe Spanish Language"
14722: SPAN,"Honors Course: Spanish-Am Lit"
14723: SPAN,"Honors Span Spec Stds Span Lit"
14724: SPAN,"Interm Foreign Language Study"
14725: SPAN,"Intermed Spa Convers"
14726: SPAN,"Intermediate Spanish Grammar"
14727: SPAN,"Intermediate Spanish Reading"
14728: SPAN,"Internship"
14729: SPAN,"Intro To Lit Studies"
14730: SPAN,"Intro to Mexican & Chicano Lit"
14731: SPAN,"Lat Amer Lit In Tran"
14732: SPAN,"LatAmerGlobalNovels ?20&21Cent"
14733: SPAN,"Latin American Lit in Trans"
14734: SPAN,"Latino Literature"
14735: SPAN,"Lit Of Dominican Rep"
14736: SPAN,"Mastrs Comprehensive"
14737: SPAN,"Modernismo in Spanish America"
14738: SPAN,"Neoclss&Romntc-Spain"
14739: SPAN,"Rdngs In Hispanc Lit"
14740: SPAN,"Realsm In Spa Narrat"
14741: SPAN,"Sat Amer Lit In Tran"
14742: SPAN,"Sem Rsrch&Meth-Lit Anal&Crit"
14743: SPAN,"Sem Spanish Sociolinguistics"
14744: SPAN,"Sem Studies-Hispanic&LatAmCuit"
14745: SPAN,"Sp Top in Latin American Lit"
14746: SPAN,"Sp&Sp-Am Lit 18-20c"
14747: SPAN,"SpTop. Spanish(Peninsular) Lit"
14748: SPAN,"Spa Am Lit-Conquest"
14749: SPAN,"Spa Comed-Golden Age"
14750: SPAN,"Spa Lit Aft Civl War"
14751: SPAN,"Spa Lit In Translt 1"
14752: SPAN,"Spa Poetry Goldn Age"
14753: SPAN,"Span Amer Lit of the XIX Cent"
14754: SPAN,"Span Dialectology & Socioling"
14755: SPAN,"Span Drama of Golden Age"
14756: SPAN,"Span Lit from Mid Ages to 1700"
14757: SPAN,"Span Lit in Translation II"
14758: SPAN,"Span Novel Goldn Age"
14759: SPAN,"Spanish American Civilization"
14760: SPAN,"Spanish Civilization"
14761: SPAN,"Spanish Lit after Civil War"
14762: SPAN,"Spanish Lit-19 Cent"
14763: SPAN,"Spanish Lit-Mid Age"
14764: SPAN,"Spanish Literature Middle Ages"
14765: SPAN,"Spanish Novel and Lyric Poetry"
14766: SPAN,"Spanish Phonetics and Diction"
14767: SPAN,"Spanish Poetry of 20th Century"
14768: SPAN,"Spanish for Health Professions"
14769: SPAN,"Spec Tops Hispanic Literature"
14770: SPAN,"Spec Tops-Span Lang"
14771: SPAN,"Topics in Hispanic Literatures"
14772: SPAN,"Topics: Span&Span Amer Lit"
14773: SPAN,"Translation"
14774: SPAN,"Tutorial"
14775: SPAN,"Workshop in Creative Writing"
14776: SPET,"Adv Anat Of Spe Mech"
14777: SPET,"Adv Clinical Methods & Writing"
14778: SPET,"Aphasia and Related Disorders"
14779: SPET,"Atsm Spctrm Dsrdrs &Rel Disrds"
14780: SPET,"Audio&Aural Rehabilitation-SLP"
14781: SPET,"Augment & Alter Comm (AAC)"
14782: SPET,"Clin Prac & Semi Spch Lang Pat"
14783: SPET,"Clinical Pract in Audiology"
14784: SPET,"Counseling in SLP"
14785: SPET,"Diag & Clinical Methods in SPL"
14786: SPET,"Diagnostic Practicum"
14787: SPET,"Dysphagia"
14788: SPET,"Ensemble Reading"
14789: SPET,"Erly Chldhd Lang & Comm Disord"
14790: SPET,"Externship Practicum"
14791: SPET,"Fluency Disorders"
14792: SPET,"Global Initiatives in SLP"
14793: SPET,"Independent Study"
14794: SPET,"Intro to Research Methods"
14795: SPET,"Lang.Disor.Chld/Adol"
14796: SPET,"Mastrs Comprehnsve"
14797: SPET,"Med. Speech Language Pathology"
14798: SPET,"Motor Speech Disorders"
14799: SPET,"Neuroanatomy&Phys. Comm Disrdr"
14800: SPET,"Nonverbal Communication"
14801: SPET,"Oral Com In Bus Indu"
14802: SPET,"Oral Interp of Lit I"
14803: SPET,"Org Spch & Hrng Prgm Sec Schls"
14804: SPET,"Phonology and Articulation"
14805: SPET,"Prof & Ethic Iss Spch Lang Pat"
14806: SPET,"SLP in Educational Settings"
14807: SPET,"Social Dialects American Engl"
14808: SPET,"Spec Frms Oral Intrp"
14809: SPET,"Speech Science"
14810: SPET,"Speech-Language Pathology"
14811: SPET,"Theory&App of Bilingual Speech"
14812: SPET,"Thesis Seminar"
14813: SPET,"Topics in Early Intervention"
14814: SPET,"Topics in Speech-Language Path"
14815: SPET,"Voice Disorders"
14816: SPEV,"Anat&Phys Spe Mechs"
14817: SPEV,"Articulatory Phonetics"
14818: SPEV,"Bilingualism"
14819: SPEV,"Indep Stdy Speech & Hrng Sci"
14820: SPEV,"Intro American Sign Lang II"
14821: SPEV,"Intro American Sign Language I"
14822: SPEV,"Intro Clinical Mthds&Supv Obs"
14823: SPEV,"Introduction to Audiology"
14824: SPEV,"Introduction to Linguistics"
14825: SPEV,"Introduction to Phonology"
14826: SPEV,"Introduction to Syntax"
14827: SPEV,"Language Acquisition"
14828: SPEV,"Neurolinguistics of Aging"
14829: SPEV,"Org Speech Hear Prog"
14830: SPEV,"Res Proj Speech & Hearing Sci"
14831: SPEV,"Semantics"
14832: SPEV,"Spe Path II:Orgnc Disor"
14833: SPEV,"Spec Studs Spe&Hear"
14834: SPEV,"Speech Pathology: Funct Disord"
14835: SPEV,"Speech and Hearing Science"
14836: SPEV,"Voice & Articulation Amer Eng"
14837: SPEV,"Voice/Articulation of Amer Eng"
14838: STAB,"Non-Cuny Permit 3 Credits"
14839: STAB,"Non-Cuny Permit 4 Credits"
14840: STAB,"Study Abroad - .5 Credit"
14841: STAB,"Study Abroad - 10 Credits"
14842: STAB,"Study Abroad - 11 Credits"
14843: STAB,"Study Abroad - 12 Credits"
14844: STAB,"Study Abroad - 2 Credits"
14845: STAB,"Study Abroad - 3 Credits"
14846: STAB,"Study Abroad - 4 Credits"
14847: STAB,"Study Abroad - 5 Credits"
14848: STAB,"Study Abroad - 6 Credits"
14849: STAB,"Study Abroad - 7 Credits"
14850: STAB,"Study Abroad - 8 Credits"
14851: STAB,"Study Abroad - 9 Credits"
14852: STAB,"Study Abroad 12 Credits"
14853: STAB,"Study Abroad 3 Credits"
14854: STAB,"Study Abroad 6 Credits"
14855: STAB,"Study Abroad 7 Credits"
14856: STAB,"Study Abroad F/T Non-Cuny"
14857: STAB,"Study Abroad Non-Cuny 10 Cr"
14858: STAB,"Study Abroad Non-Cuny 6 Cr"
14859: STAB,"Study Abroad-13 Credits"
14860: STAB,"Study Abroad-14 Credits"
14861: STAB,"Study Abroad-15 Credits"
14862: STAB,"Study Abroad-16 Credits"
14863: STAB,"Study Abroad-17 Credits"
14864: STAB,"Study Abroad-18 Credits"
14865: STAB,"Study Abroad-I Credit"
14866: SWAH,"200-300 Level Elec"
14867: SWAH,"300-400 Level Elective"
14868: SWAH,"Elementary Swahili I"
14869: SWAH,"Elementary Swahili II"
14870: SWAH,"Intermediate Swahili I"
14871: SWAH,"Intermediate Swahili II"
14872: SWAH,"Swahili Literature I"
14873: SWAH,"Swahili Literature II"
14874: THEA,"Acting I"
14875: THEA,"Acting II"
14876: THEA,"Acting for Musical Theatre"
14877: THEA,"Acting for the Camera"
14878: THEA,"Adv.Performing Arts Mgmt"
14879: THEA,"Advanced Acting"
14880: THEA,"Advanced Acting for the Camera"
14881: THEA,"Advanced Costume Design"
14882: THEA,"Advanced Digital Storytelling"
14883: THEA,"Advanced Lighting Design"
14884: THEA,"Advanced Playwriting Workshop"
14885: THEA,"Advanced Scenic Design"
14886: THEA,"Advanced Stage Management"
14887: THEA,"Advanced Technical Theatre"
14888: THEA,"Advanced Theatre Internship"
14889: THEA,"Advanced Theatre Workshop"
14890: THEA,"Advanced Voice for the Stage"
14891: THEA,"African American Theatre"
14892: THEA,"Art Of The Theatre"
14893: THEA,"Art of the Theatre"
14894: THEA,"Costume Design"
14895: THEA,"Creative Drama for Children"
14896: THEA,"Devised Multimedia Performance"
14897: THEA,"Digital Storytelling"
14898: THEA,"Directing I"
14899: THEA,"Directing II"
14900: THEA,"Eliz&Jacobean Thtre"
14901: THEA,"Experiencing Theatre"
14902: THEA,"Greek&Roman Theatre"
14903: THEA,"History of Musical Theatre"
14904: THEA,"History of The Theatre II"
14905: THEA,"History of the Theatre I"
14906: THEA,"Honors Multimedia Performing A"
14907: THEA,"Improvisation"
14908: THEA,"Independent Study in Theatre"
14909: THEA,"Lighting Design"
14910: THEA,"Movement for Actors & Dancers"
14911: THEA,"Multimedia Performing Arts Pro"
14912: THEA,"Multimedia Post-Production Wor"
14913: THEA,"Multimedia Production Workshop"
14914: THEA,"Performing Arts Management"
14915: THEA,"Play Analysis"
14916: THEA,"Play Product-2ndary"
14917: THEA,"Playwriting"
14918: THEA,"Puppetry"
14919: THEA,"Queer Theatre"
14920: THEA,"Research Project in Theatre"
14921: THEA,"Scenic Design"
14922: THEA,"Somatics I"
14923: THEA,"Somatics II"
14924: THEA,"Special Problems"
14925: THEA,"Special Studies in Theatre"
14926: THEA,"Stage Makeup"
14927: THEA,"Stagecraft"
14928: THEA,"Stds Restore & XVIII Cent Thtr"
14929: THEA,"Stdy Contemp Theatre"
14930: THEA,"Studies in Modern Theatre"
14931: THEA,"The Art of the Theatre"
14932: THEA,"The Artist and Society"
14933: THEA,"The Children’s Theatre"
14934: THEA,"Thea Wkshp: Acting & Directing"
14935: THEA,"Thea Wrkshp: Costume-Wardrobe"
14936: THEA,"Theatre Honors"
14937: THEA,"Theatre Internship"
14938: THEA,"Theatre Theory"
14939: THEA,"Theatre Wksp: Lighting/Sound"
14940: THEA,"Theatre Workshop: Scenery/Prop"
14941: THEA,"Theatre Workshop:Stage Mangmnt"
14942: THEA,"Tools for Digital Storytelling"
14943: THEA,"Topics in Theatre"
14944: THEA,"Visual Elements of the Theatre"
14945: THEA,"Voice and Speech for the Actor"
14946: THEA,"Voice for the Stage"
14947: THEA,"Voice-Over Multimedia Platfrms"
14948: THEA,"Working in the Performing Arts"
14949: UBST,"Field Research"
14950: UBST,"Urban Studies Seminar"
14951: WOCL,"Classics West Wrld 1"
14952: WOCL,"Classics West Wrld 2"
14953: WOCL,"Classics of Western World I"
14954: WOCL,"Classics of Western World II"
14955: WOCL,"Classics of the Asian World"
14956: WOFL,"Advanced Business Language"
14957: WOFL,"Advanced Composition"
14958: WOFL,"Advanced Conversation"
14959: WOFL,"Advanced Grammar"
14960: WOFL,"Business Language"
14961: WOFL,"Comparative Grammar"
14962: WOFL,"Elementary I"
14963: WOFL,"Elementary II"
14964: WOFL,"Elementary III"
14965: WOFL,"Heritage Speaker Interm I"
14966: WOFL,"Heritage Speaker Interm II"
14967: WOFL,"Indv Adv Foreign Lang Study"
14968: WOFL,"Indv Interm Foreign Lang Study"
14969: WOFL,"Intensive Elem I & II"
14970: WOFL,"Intermd Conversation"
14971: WOFL,"Intermed Grammar I"
14972: WOFL,"Intermed Rdng & Comp"
14973: WOFL,"Intermediate I"
14974: WOFL,"Intermediate II"
14975: WOFL,"Intermediate Language I"
14976: WOFL,"Intermediate Language II"
14977: WOFL,"Intermediate Studies - Lit"
14978: WOFL,"Internship/Service Learning"
14979: WOFL,"Intrnshp Serv Lrnng Interm"
14980: WOFL,"Intro Lit & Lit Criticism"
14981: WOFL,"Introduction to Language"
14982: WOFL,"Lit From 18 C.-Present"
14983: WOFL,"Lit from Mid Age-XVII Cent"
14984: WOFL,"Phonetics & Diction"
14985: WOFL,"Regnal Civ.&Or Cult."
14986: WOFL,"Topics"
14987: WOFL,"Topics In Language"
14988: WOFL,"Topics In Literature"
14989: WOFL,"Topics in 17th Cent Literature"
14990: WOFL,"Topics in 18th Cent Literature"
14991: WOFL,"Topics in 19th Cent Literature"
14992: WOFL,"Topics in Health/Science"
14993: WOFL,"Topics in Lit: Middle Ages"
14994: WOFL,"Topics in Lit: The Renaissance"
14995: WOFL,"Topics in Narrative Literature"
14996: WOFL,"Topics in Poetry"
14997: WOFL,"Topics in Science/Health"
14998: WOFL,"Topics in Theatre"
14999: WOFL,"Topics in XX Cent Lit"
15000: WOFL,"Translation"
15001: WOFL,"Tutorial"
15002: WOST,"African American Families"
15003: WOST,"African Family Systems"
15004: WOST,"Anthro Prspctvs:Women&Men"
15005: WOST,"Black Feminisms"
15006: WOST,"Black Women in American Societ"
15007: WOST,"Blk Pnthr Wmen & Gndr Politics"
15008: WOST,"Family Psychology"
15009: WOST,"Family Relationships"
15010: WOST,"Family and Community Health"
15011: WOST,"Gender and Society"
15012: WOST,"His Women & Soc Islamic M.E."
15013: WOST,"History of African Amer Women"
15014: WOST,"History of Women in America"
15015: WOST,"Human Sexuality"
15016: WOST,"Introduction Women’s Studies"
15017: WOST,"Modern Housing"
15018: WOST,"Parenting and Child Health"
15019: WOST,"Philosophy and Gender"
15020: WOST,"Psychology of Women"
15021: WOST,"Senior Sem Women’s Studies"
15022: WOST,"Sexualty & Sex Roles"
15023: WOST,"Smn&Field-Fmly Relat"
15024: WOST,"Soc of Gndr & Reprod"
15025: WOST,"Sociology Of Family"
15026: WOST,"Sociology of the Family"
15027: WOST,"The Family in American History"
15028: WOST,"Topics in Gender and Sexuality"
15029: WOST,"Topics in Women and Religion"
15030: WOST,"Topics in Women and Society"
15031: WOST,"Tpcs in the Hist of Wmn’s Mvmt"
15032: WOST,"Women In Latin America"
15033: WOST,"Women In Literature"
15034: WOST,"Women Writers in English"
15035: WOST,"Women and Health"
15036: WOST,"Women and Politics"
15037: WOST,"Women in African Society"
15038: WOST,"Women in Antiquity"
15039: WOST,"Women in Latin America"
15040: WOST,"Women in Literature"
15041: WOST,"Women&Men:Anth Persp"
15042: WOST,"Women15043: WOST,"Women/Minorit/Media"
15044: YIDD,"Adv.Foreignlang.Stud"
15045: YIDD,"Elem Yiddish-Intensv"
15046: YIDD,"Elementary Yiddish I"
15047: YIDD,"Elementary Yiddish II"
15048: YIDD,"Int.Foreignlang.Stud"
15049: YIDD,"Intermediate Yiddish I"
15050: YIDD,"Intermediate Yiddish II"
15051: YIDD,"Yiddish Independent Studies"
15052: YIDD,"Yiddish Lit In Trans"
15053: YORU,"Elementary Yoruba I"
15054: YORU,"Elementary Yoruba II"
15055: YORU,"Intermediate Yoruba"
15056: YORU,"Modern Yoruba Literature"
15057: YORU,"Yoruba Oral Literature"
